btag_Power,brick_Emergency_Power_Off_Activated_By_High_Temperature
btag_DHWS,brick_DHWS_Domestic_Hot_Water_Valve_Command
btag_Discharge,brick_AHU_Discharge_Air_Temperature_Setpoint
btag_Stop,brick_Chiller_Start_Stop_Status
btag_Heating,brick_Occupied_Heating_Max_Supply_Air_Flow_Setpoint
btag_Dead,brick_Discharge_Air_Static_Pressure_Dead_Band
btag_DI,brick_DI_Water_Level_Sensor
btag_Command,brick_AHU_Return_Fan_VFD_Speed_Command
btag_Differential,brick_Chilled_Water_Pump_Differential_Pressure_Proportional_Band_Setpoint
btag_Setpoint,brick_Heating_Supply_Air_Temperature_Integral_Time_Setpoint
btag_Increase,brick_Supply_Air_Static_Pressure_Increase_Decrease_Step_Setpoint
btag_Water,brick_Hot_Water_Supply_Temperature_Sensor
btag_CWS,brick_CWS_Chilled_Water_Static_Pressure_Setpoint
btag_Flow,brick_VAV_Supply_Air_Flow_Sensor
btag_Return,brick_AHU_Return_Fan_Start_Stop_Command
btag_Air,brick_AHU_Discharge_Air_Static_Pressure_Dead_Band_Setpoint
btag_Meter,brick_Hot_Water_Meter
btag_Temperature,brick_Economizer_Disable_Differential_Temperature_Setpoint
btag_Setpoint,brick_Economizer_Disable_Differential_Temperature_Setpoint
btag_Alarm,brick_Emergency_Power_Loss_Alarm
btag_Water,brick_HWS_Medium_Temperature_Hot_Water_Discharge_Temperature_Sensor
btag_On,brick_Chiller_Start_Stop_Status
btag_Operating,brick_Vent_Operating_Mode_Status
btag_Temperature,brick_Hot_Water_Discharge_Temperature_Sensor
btag_Pump,brick_Hot_Water_Pump_Status
btag_Stop,brick_Hot_Water_Pump_Start_Stop_Command
btag_Room,brick_Computer_Room_Air_Conditioning
btag_Setpoint,brick_AHU_Cooling_Request_Percent_Setpoint
btag_Overridden,brick_Overridden_On_Status
btag_Air,brick_FCU_Discharge_Air_Temperature_Sensor
btag_Exhaust,brick_AHU_Exhaust_Fan_Piezoelectric_Sensor
btag_Pressure,brick_Hot_Water_Differential_Pressure_Proportional_Band
btag_Pressure,brick_Supply_Fan_Supply_Air_Static_Pressure_Proportional_Band_Setpoint
btag_Dead,brick_HWS_Heat_Exchanger_Discharge_Water_Temperature_Dead_Band_Setpoint
btag_HWS,brick_HWS_Hot_Water_Differential_Pressure_Proportional_Band_Setpoint
btag_Return,brick_Max_Return_Air_CO2
btag_Environment,brick_Environment_Box
btag_Setpoint,brick_Return_Fan_VFD_Speed_Setpoint
btag_Command,brick_VFD_Maintenance_Mode_Command
btag_Water,brick_CWS_Chilled_Water_Pump_Differential_Pressure_Proportional_Band_Setpoint
btag_Command,brick_VFD_Start_Stop_Command
btag_Stop,brick_AHU_Discharge_Fan_Start_Stop_Command
btag_VFD,brick_FCU_VFD_Speed_Command
btag_Heating,brick_Heating_Thermal_Power_Meter
btag_Manual,brick_VFD_Manual_Auto_Status
btag_Output,brick_Output_Frequency_Sensor
btag_Band,brick_Cooling_Discharge_Air_Temperature_Dead_Band_Setpoint
btag_Supply,brick_Discharge_Air_Static_Pressure_Setpoint
btag_Short,brick_Short_Cycle
btag_Limit,brick_VAV_Outside_Air_Damper_Close_Limit_Setpoint
btag_Air,brick_Discharge_Air_Static_Pressure_Sensor
btag_Flow,brick_Supply_Fan_Air_Flow
btag_Hold,brick_Hold
btag_Exchanger,brick_Heat_Exchanger_Discharge_Water_Temperature_Sensor
btag_Alarm,brick_CRAC_High_Temperature_Alarm
btag_Temperature,brick_Emergency_Power_Off_Activated_By_High_Temperature
btag_Command,brick_CRAC_Emergency_Power_Off_Switch_Command
btag_Heating,brick_Occupied_Heating_Max_Discharge_Air_Flow
btag_Effective,brick_Effective_Heating_Temperature
btag_AHU,brick_AHU_Exhaust_Fan_Fire_Control_Panel_Off_Command
