,name,pinyin
298,忻府,xinfu
299,定襄,dingxiang
300,五台,wutai
301,代县,daixian
302,繁峙,fanshi
303,宁武,ningwu
304,静乐,jingle
305,神池,shenchi
306,五寨,wuzhai
307,岢岚,kelan
308,河曲,hequ
309,保德,baode
310,偏关,pianguan
311,原平,yuanping
312,临汾,linfen
313,尧都,yaodu
314,曲沃,quwo
315,翼城,yicheng
316,襄汾,xiangfen
317,洪洞,hongtong
318,古县,guxian
319,安泽,anze
320,浮山,fushan
321,吉县,jixian
322,乡宁,xiangning
323,大宁,daning
324,隰县,xixian
325,永和,yonghe
326,蒲县,puxian
327,汾西,fenxi
328,侯马,houma
329,霍州,huozhou
330,吕梁,lvliang
331,离石,lishi
332,文水,wenshui
333,交城,jiaocheng
334,兴县,xingxian
335,临县,linxian
336,柳林,liulin
337,石楼,shilou
338,岚县,lanxian
339,方山,fangshan
340,中阳,zhongyang
341,交口,jiaokou
342,孝义,xiaoyi
343,汾阳,fenyang
344,内蒙古,neimenggu
345,呼和浩特,huhehaote
346,新城,xincheng
347,回民,huimin
348,玉泉,yuquan
349,赛罕,saihan
350,土默特左旗,tumotezuoqi
351,托克托,tuoketuo
352,和林格尔,helingeer
353,清水河,qingshuihe
354,武川,wuchuan
355,包头,baotou
356,东河,donghe
357,昆都仑,kundulun
358,青山,qingshan
359,石拐,shiguai
360,白云鄂博矿区,baiyunebokuangqu
361,九原,jiuyuan
362,土默特右旗,tumoteyouqi
363,固阳,guyang
364,达尔罕茂明安联合旗,daerhanmaominganlianheqi
365,乌海,wuhai
366,海勃湾,haibowan
367,海南,hainan
368,乌达,wuda
369,赤峰,chifeng
370,红山,hongshan
371,元宝山,yuanbaoshan
372,松山,songshan
373,阿鲁科尔沁旗,alukeerqinqi
374,巴林左旗,balinzuoqi
375,巴林右旗,balinyouqi
376,林西,linxi
377,克什克腾旗,keshiketengqi
378,翁牛特旗,wengniuteqi
379,喀喇沁旗,kalaqinqi
380,宁城,ningcheng
381,敖汉旗,aohanqi
382,通辽,tongliao
383,科尔沁,keerqin
384,科尔沁左翼中旗,keerqinzuoyizhongqi
385,科尔沁左翼后旗,keerqinzuoyihouqi
386,开鲁,kailu
387,库伦旗,kulunqi
388,奈曼旗,naimanqi
389,扎鲁特旗,zhaluteqi
390,霍林郭勒,huolinguole
391,鄂尔多斯,eerduosi
392,东胜,dongsheng
393,康巴什,kangbashi
394,达拉特旗,dalateqi
395,准格尔旗,zhungeerqi
396,鄂托克前旗,etuokeqianqi
397,鄂托克旗,etuokeqi
398,杭锦旗,hangjinqi
399,乌审旗,wushenqi
400,伊金霍洛旗,yijinhuoluoqi
401,呼伦贝尔,hulunbeier
402,海拉尔,hailaer
403,扎赉诺尔区,zhalainuoerqu
404,阿荣旗,arongqi
405,莫力达瓦,molidawa
406,鄂伦春自治旗,elunchunzizhiqi
407,鄂温克族自治旗,ewenkezuzizhiqi
408,陈巴尔虎旗,chenbaerhuqi
409,新巴尔虎左旗,xinbaerhuzuoqi
410,新巴尔虎右旗,xinbaerhuyouqi
411,满洲里,manzhouli
412,牙克石,yakeshi
413,扎兰屯,zhalantun
414,额尔古纳,eerguna
415,根河,genhe
416,巴彦淖尔,bayannaoer
417,临河,linhe
418,五原,wuyuan
419,磴口,dengkou
420,乌拉特前旗,wulateqianqi
421,乌拉特中旗,wulatezhongqi
422,乌拉特后旗,wulatehouqi
423,杭锦后旗,hangjinhouqi
424,乌兰察布,wulanchabu
425,集宁,jining
426,卓资,zhuozi
427,化德,huade
428,商都,shangdu
429,兴和,xinghe
430,凉城,liangcheng
431,察哈尔右翼前旗,chahaeryouyiqianqi
432,察哈尔右翼中旗,chahaeryouyizhongqi
433,察哈尔右翼后旗,chahaeryouyihouqi
434,四子王旗,siziwangqi
435,丰镇,fengzhen
436,兴安,xingan
437,乌兰浩特,wulanhaote
438,阿尔山,aershan
439,科尔沁右翼前旗,keerqinyouyiqianqi
440,科尔沁右翼中旗,keerqinyouyizhongqi
441,扎赉特旗,zhalaiteqi
442,突泉,tuquan
443,锡林郭勒,xilinguole
444,二连浩特,erlianhaote
445,锡林浩特,xilinhaote
446,阿巴嘎旗,abagaqi
447,苏尼特左旗,sunitezuoqi
448,苏尼特右旗,suniteyouqi
449,东乌珠穆沁旗,dongwuzhumuqinqi
450,西乌珠穆沁旗,xiwuzhumuqinqi
451,太仆寺旗,taipusiqi
452,镶黄旗,xianghuangqi
453,正镶白旗,zhengxiangbaiqi
454,正蓝旗,zhenglanqi
455,多伦,duolun
456,阿拉善,alashan
457,阿拉善左旗,alashanzuoqi
458,阿拉善右旗,alashanyouqi
459,额济纳旗,ejinaqi
460,辽宁,liaoning
461,沈阳,shenyang
463,沈河,shenhe
464,大东,dadong
465,皇姑,huanggu
466,铁西,tiexi
467,苏家屯,sujiatun
468,浑南,hunnan
469,沈北新区,shenbeixinqu
470,于洪,yuhong
471,辽中,liaozhong
472,康平,kangping
473,法库,faku
474,新民,xinmin
475,大连,dalian
476,中山,zhongshan
477,西岗,xigang
478,沙河口,shahekou
479,甘井子,ganjingzi
480,旅顺口,lvshunkou
481,金州,jinzhou
482,普兰店,pulandian
483,长海,changhai
484,瓦房店,wafangdian
485,庄河,zhuanghe
486,鞍山,anshan
487,铁东,tiedong
489,立山,lishan
490,千山,qianshan
491,台安,taian
492,岫岩,xiuyan
493,海城,haicheng
494,抚顺,fushun
495,新抚,xinfu
496,东洲,dongzhou
497,望花,wanghua
498,顺城,shuncheng
499,抚顺县,fushunxian
500,新宾,xinbin
501,清原,qingyuan
502,本溪,benxi
504,溪湖,xihu
505,明山,mingshan
506,南芬,nanfen
507,本溪满族自治县,benximanzuzizhixian
508,桓仁,huanren
509,丹东,dandong
510,元宝,yuanbao
511,振兴,zhenxing
512,振安,zhenan
513,宽甸,kuandian
514,东港,donggang
515,凤城,fengcheng
516,锦州,jinzhou
517,古塔,guta
518,凌河,linghe
519,太和,taihe
520,黑山,heishan
521,义县,yixian
522,凌海,linghai
523,北镇,beizhen
524,营口,yingkou
525,站前,zhanqian
526,西市,xishi
527,鲅鱼圈,bayuquan
528,老边,laobian
529,盖州,gaizhou
530,大石桥,dashiqiao
531,阜新,fuxin
532,海州,haizhou
533,新邱,xinqiu
534,太平,taiping
535,清河门,qinghemen
